CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MOTOR VEHICLE THEFT,11/27/2017 07:33:00 PM,17-061971,VEHICLE THEFT - AUTO,29X,6800 HILLMONT DR,Oakland,CA,"6800 HILLMONT DR
Oakland, CA
(37.774928, -122.169853)"
THEFT/LARCENY,12/10/2017 06:00:00 PM,17-064429,BURGLARY-AUTO,28X,3400 HIGH ST,Oakland,CA,"3400 HIGH ST
Oakland, CA
(37.78614, -122.197109)"
THEFT/LARCENY,10/16/2017 12:29:00 PM,17-054424,THEFT,21Y,2700 SUNSET AV,Oakland,CA,"2700 SUNSET AV
Oakland, CA
(37.79012, -122.218675)"
VANDALISM,12/18/2017 09:00:00 AM,17-065649,VANDALISM [UNDER $400],31Z,400 CAPISTRANO DR,Oakland,CA,"400 CAPISTRANO DR
Oakland, CA
(37.727725, -122.179229)"
THEFT/LARCENY,10/26/2017 11:23:00 AM,17-916967,GRAND THEFT,26X,6200 SAN LEANDRO ST,Oakland,CA,"6200 SAN LEANDRO ST
Oakland, CA
(37.759073, -122.203438)"
ASSAULT,11/13/2017 04:31:00 PM,17-059491,BATTERY W/SERIOUS BODILY INJURY,27X,2300 HIGH ST,Oakland,CA,"2300 HIGH ST
Oakland, CA
(37.779942, -122.206654)"
THEFT/LARCENY,11/14/2017 01:00:00 AM,17-059549,THEFT,19X,2000 E 15TH ST,Oakland,CA,"2000 E 15TH ST
Oakland, CA
(37.786465, -122.238863)"
ASSAULT,10/25/2017 01:00:00 AM,17-055946,BATTERY,10Y,800 ARLINGTON AV,Oakland,CA,"800 ARLINGTON AV
Oakland, CA
(37.842712, -122.270418)"
ASSAULT,12/07/2017 10:00:00 PM,17-063866,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,9900 STANLEY AV,Oakland,CA,"9900 STANLEY AV
Oakland, CA
(37.748942, -122.151416)"
ASSAULT,11/06/2017 04:00:00 PM,17-058334,BATTERY,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774483, -122.231168)"
VANDALISM,11/30/2017 11:00:00 PM,17-919028,VANDALISM,,CANYON OAKS DRIVE,Oakland,CA,"CANYON OAKS DRIVE
Oakland, CA
"
VANDALISM,11/04/2017 03:30:00 PM,17-918312,VANDALISM,01X,500 3RD ST,Oakland,CA,"500 3RD ST
Oakland, CA
(37.797189, -122.277105)"
SEX CRIMES,01/04/2018 11:33:00 PM,18-000738,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 E 12TH ST,Oakland,CA,"1400 E 12TH ST
Oakland, CA
(37.788488, -122.246623)"
ASSAULT,12/24/2017 09:49:00 PM,17-066869,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,1400 E 31ST ST,Oakland,CA,"1400 E 31ST ST
Oakland, CA
(37.799276, -122.231413)"
MOTOR VEHICLE THEFT,01/06/2018 10:30:00 AM,18-001002,ATTEMPT VEHICLE THEFT-AUTO,01X,00 HARRISON ST,Oakland,CA,"00 HARRISON ST
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,12/09/2017 03:45:00 PM,17-064138,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,21X,2000 23RD AV,Oakland,CA,"2000 23RD AV
Oakland, CA
(37.787593, -122.232019)"
ASSAULT,01/06/2018 08:46:00 AM,18-000988,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,14X,300 MACARTHUR BLVD,Oakland,CA,"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
MOTOR VEHICLE THEFT,10/18/2017 04:00:00 PM,17-054959,VEHICLE THEFT - AUTO,13Z,6900 ARMOUR DR,Oakland,CA,"6900 ARMOUR DR
Oakland, CA
(37.838125, -122.203417)"
ASSAULT,01/05/2018 07:31:00 PM,18-000912,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,28X,2600 HIGH ST,Oakland,CA,"2600 HIGH ST
Oakland, CA
(37.78253, -122.204159)"
THEFT/LARCENY,11/18/2017 10:00:00 AM,17-918307,BURGLARY-AUTO,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813468, -122.26486)"
THEFT/LARCENY,11/07/2017 07:10:00 PM,17-917662,BURGLARY-AUTO,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ARSON,10/16/2017 06:19:00 AM,17-051656,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,32X,1300 104TH AV,Oakland,CA,"1300 104TH AV
Oakland, CA
(37.73885, -122.169293)"
THEFT/LARCENY,12/02/2017 01:00:00 AM,17-918949,BURGLARY-AUTO,04X,2100 WEBSTER ST,Oakland,CA,"2100 WEBSTER ST
Oakland, CA
(37.809947, -122.265796)"
THEFT/LARCENY,11/18/2017 01:45:00 PM,17-918298,GRAND THEFT,12Y,300 63RD ST,Oakland,CA,"300 63RD ST
Oakland, CA
(37.850346, -122.252379)"
ASSAULT,01/06/2018 02:00:00 PM,18-001027,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27Y,2400 66TH AV,Oakland,CA,"2400 66TH AV
Oakland, CA
(37.766486, -122.187744)"
SEX CRIMES,01/05/2018 12:00:00 AM,18-000749,DISORDERLY CONDUCT:PROSTITUTION,19X,1000 INTERNATIONAL BLVD,Oakland,CA,"1000 INTERNATIONAL BLVD
Oakland, CA
(37.792079, -122.249696)"
ASSAULT,12/09/2017 06:41:00 PM,17-063994,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,02Y,1600 10TH ST,Oakland,CA,"1600 10TH ST
Oakland, CA
(37.808422, -122.296281)"
DRUGS/ALCOHOL VIOLATIONS,01/05/2018 09:30:00 PM,18-000940,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,3200 PERALTA ST,Oakland,CA,"3200 PERALTA ST
Oakland, CA
(37.824675, -122.283317)"
THEFT/LARCENY,12/03/2017 01:45:00 PM,17-918945,BURGLARY-AUTO,22Y,3000 JOAQUIN MILLER ROAD,Oakland,CA,"3000 JOAQUIN MILLER ROAD
Oakland, CA
(37.810801, -122.194577)"
ROBBERY,01/03/2018 08:30:00 PM,18-000518,ROBBERY-FIREARM,30Y,8100 BLK STERLING DR,Oakland,CA,"8100 BLK STERLING DR
Oakland, CA
(37.767163, -122.15775)"
THEFT/LARCENY,11/27/2017 08:00:00 AM,17-061846,THEFT,33X,1200 97TH AV,Oakland,CA,"1200 97TH AV
Oakland, CA
(37.743493, -122.174408)"
ASSAULT,12/24/2017 03:38:00 PM,17-066838,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21X,1900 26TH AV,Oakland,CA,"1900 26TH AV
Oakland, CA
(37.784972, -122.228593)"
THEFT/LARCENY,11/07/2017 07:45:00 AM,17-058426,BURGLARY-AUTO,15X,2300 LAKESHORE AV,Oakland,CA,"2300 LAKESHORE AV
Oakland, CA
(37.806604, -122.249912)"
MOTOR VEHICLE THEFT,01/05/2018 10:30:00 PM,18-000930,VEHICLE THEFT - AUTO,29X,2500 63RD AV,Oakland,CA,"2500 63RD AV
Oakland, CA
(37.768545, -122.188824)"
THEFT/LARCENY,10/26/2017 03:50:00 PM,17-917035,THEFT,16Y,2000 MACARTHUR BOULEVARD,Oakland,CA,"2000 MACARTHUR BOULEVARD
Oakland, CA
(37.80093, -122.218386)"
VANDALISM,12/23/2017 11:00:00 PM,17-066906,VANDALISM,32X,1200 99TH AV,Oakland,CA,"1200 99TH AV
Oakland, CA
(37.74234, -122.171256)"
VANDALISM,11/07/2017 07:00:00 PM,17-917660,VANDALISM,01X,100 CLAY ST,Oakland,CA,"100 CLAY ST
Oakland, CA
(37.796373, -122.279176)"
ASSAULT,11/23/2017 04:15:00 AM,17-061275,BATTERY,14Y,3500 GRAND AV,Oakland,CA,"3500 GRAND AV
Oakland, CA
(37.814365, -122.24615)"
VANDALISM,10/27/2017 06:30:00 PM,17-916996,VANDALISM,14Y,500 AVE LAKE PARK AVE,Oakland,CA,"500 AVE LAKE PARK AVE
Oakland, CA
(37.810718, -122.247325)"
ASSAULT,10/16/2017 10:40:00 PM,17-054408,EXHIBIT FIREARM,33X,9200 C ST,Oakland,CA,"9200 C ST
Oakland, CA
(37.746519, -122.177896)"
THEFT/LARCENY,12/29/2017 08:45:00 AM,17-067577,THEFT,04X,1500 LAKESIDE DR,Oakland,CA,"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
ASSAULT,12/24/2017 11:04:00 PM,17-066882,BATTERY,24Y,3100 EASTMAN AV,Oakland,CA,"3100 EASTMAN AV
Oakland, CA
(37.786338, -122.201054)"
ASSAULT,12/25/2017 01:30:00 PM,17-066943,BATTERY,30X,1600 82ND AV,Oakland,CA,"1600 82ND AV
Oakland, CA
(37.756765, -122.177207)"
THEFT/LARCENY,11/13/2017 06:30:00 PM,17-059701,THEFT,33X,1200 84TH AV,Oakland,CA,"1200 84TH AV
Oakland, CA
(37.752563, -122.180932)"
THEFT/LARCENY,10/26/2017 12:40:00 PM,17-917032,BURGLARY-AUTO,02X,1100 3RD ST,Oakland,CA,"1100 3RD ST
Oakland, CA
(37.800827, -122.28812)"
THEFT/LARCENY,10/25/2017 07:00:00 PM,17-916990,BURGLARY-AUTO,,22ND AVE,Oakland,CA,"22ND AVE
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,12/08/2017 03:27:00 AM,17-063865,POSSESS CONTROLLED SUBSTANCE,05Y,1600 16TH ST,Oakland,CA,"1600 16TH ST
Oakland, CA
(37.812771, -122.292936)"
MOTOR VEHICLE THEFT,11/11/2017 03:00:00 PM,17-059376,VEHICLE THEFT - AUTO,30X,2000 81ST AV,Oakland,CA,"2000 81ST AV
Oakland, CA
(37.759933, -122.172723)"
DISTURBING THE PEACE,12/03/2017 02:25:00 PM,17-918974,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,,7000 E MACARTHUR BLVD BOULEV,Oakland,CA,"7000 E MACARTHUR BLVD BOULEV
Oakland, CA
"
THEFT/LARCENY,11/12/2017 07:30:00 AM,17-059556,THEFT,32X,9900 C ST,Oakland,CA,"9900 C ST
Oakland, CA
(37.741217, -122.173936)"
THEFT/LARCENY,10/26/2017 09:00:00 PM,17-917022,BURGLARY-AUTO,04X,1800 TELEGRAPH,Oakland,CA,"1800 TELEGRAPH
Oakland, CA
(37.807817, -122.270002)"
ASSAULT,11/13/2017 10:50:00 PM,17-059533,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,12Y,300 51ST ST,Oakland,CA,"300 51ST ST
Oakland, CA
(37.834903, -122.25289)"
MOTOR VEHICLE THEFT,11/23/2017 12:17:00 PM,17-061202,VEHICLE THEFT - AUTO,30Y,6900 BANCROFT AV,Oakland,CA,"6900 BANCROFT AV
Oakland, CA
(37.767875, -122.179165)"
THEFT/LARCENY,12/21/2017 11:00:00 PM,17-066484,BURGLARY-AUTO,21X,2500 GRANDE VISTA AV,Oakland,CA,"2500 GRANDE VISTA AV
Oakland, CA
(37.79092, -122.227238)"
THEFT/LARCENY,11/27/2017 11:00:00 PM,17-061840,THEFT,30X,1700 68TH AV,Oakland,CA,"1700 68TH AV
Oakland, CA
(37.763544, -122.188062)"
ROBBERY,11/14/2017 12:56:00 PM,17-059628,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10X,5800 SAN PABLO AV,Oakland,CA,"5800 SAN PABLO AV
Oakland, CA
(37.841013, -122.283016)"
THEFT/LARCENY,10/27/2017 06:45:00 PM,17-916992,THEFT,17X,1100 E 18TH ST,Oakland,CA,"1100 E 18TH ST
Oakland, CA
(37.793973, -122.245161)"
MOTOR VEHICLE THEFT,11/06/2017 07:30:00 PM,17-058450,VEHICLE THEFT - AUTO,35Y,3500 CALAFIA AV,Oakland,CA,"3500 CALAFIA AV
Oakland, CA
(37.754144, -122.148695)"
BURGLARY,12/25/2017 12:00:00 AM,17-066915,BURGLARY-FORCIBLE ENTRY,13Z,2000 MOUNTAIN BLVD,Oakland,CA,"2000 MOUNTAIN BLVD
Oakland, CA
(37.827181, -122.209917)"
ASSAULT,12/23/2017 05:08:00 AM,17-066642,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,1400 SUNSHINE CT,Oakland,CA,"1400 SUNSHINE CT
Oakland, CA
(37.7585, -122.185502)"
ASSAULT,10/17/2017 01:50:00 AM,17-054423,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,1700 81ST AV,Oakland,CA,"1700 81ST AV
Oakland, CA
(37.758317, -122.176056)"
ROBBERY,12/25/2017 09:50:00 AM,17-066919,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,3000 E 15TH ST,Oakland,CA,"3000 E 15TH ST
Oakland, CA
(37.779484, -122.227446)"
ROBBERY,10/19/2017 06:00:00 AM,17-054861,ROBBERY/INHABITED DWELLING - FIREARM,30Y,7900 MACARTHUR BLVD,Oakland,CA,"7900 MACARTHUR BLVD
Oakland, CA
(37.765231, -122.167085)"
THEFT/LARCENY,10/26/2017 10:05:00 PM,17-917015,BURGLARY-AUTO,10Y,800 57TH ST,Oakland,CA,"800 57TH ST
Oakland, CA
(37.842041, -122.270293)"
MOTOR VEHICLE THEFT,10/24/2017 10:30:00 PM,17-055919,VEHICLE THEFT - AUTO,21X,3300 ARDLEY AV,Oakland,CA,"3300 ARDLEY AV
Oakland, CA
(37.800052, -122.224148)"
ASSAULT,10/22/2017 10:30:00 PM,17-055816,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,8800 SAN LEANDRO ST,Oakland,CA,"8800 SAN LEANDRO ST
Oakland, CA
(37.745385, -122.187129)"
THEFT/LARCENY,12/03/2017 07:00:00 PM,17-918942,BURGLARY-AUTO,12X,4000 SHAFTER AVE,Oakland,CA,"4000 SHAFTER AVE
Oakland, CA
(37.828568, -122.259733)"
MOTOR VEHICLE THEFT,10/16/2017 06:00:00 PM,17-054777,VEHICLE THEFT - AUTO,26X,4600 MALAT ST,Oakland,CA,"4600 MALAT ST
Oakland, CA
(37.764797, -122.220106)"
MOTOR VEHICLE THEFT,11/28/2017 09:53:00 AM,17-061994,VEHICLE THEFT - AUTO,17X,1600 11TH AV,Oakland,CA,"1600 11TH AV
Oakland, CA
(37.792772, -122.246856)"
MOTOR VEHICLE THEFT,12/22/2017 01:34:00 AM,17-066454,VEHICLE THEFT - AUTO,29X,3000 SEMINARY AV,Oakland,CA,"3000 SEMINARY AV
Oakland, CA
(37.774611, -122.186277)"
VANDALISM,10/30/2017 01:45:00 PM,17-917680,VANDALISM,03X,200 11TH ST,Oakland,CA,"200 11TH ST
Oakland, CA
(37.799926, -122.266534)"
THEFT/LARCENY,10/26/2017 07:15:00 PM,17-917020,BURGLARY-AUTO,,400 BLK OPAL ST,Oakland,CA,"400 BLK OPAL ST
Oakland, CA
"
ROBBERY,11/22/2017 05:15:00 PM,17-061084,ATTEMPTED ROBBERY-FIREARM,12Y,5300 CLAREMONT AV,Oakland,CA,"5300 CLAREMONT AV
Oakland, CA
(37.840011, -122.259873)"
MOTOR VEHICLE THEFT,01/06/2018 01:00:00 AM,18-000985,VEHICLE THEFT - AUTO,35X,2500 84TH AV,Oakland,CA,"2500 84TH AV
Oakland, CA
(37.761041, -122.164914)"
VANDALISM,10/20/2017 07:18:00 PM,17-055185,VANDALISM,22X,3400 CHAMPION ST,Oakland,CA,"3400 CHAMPION ST
Oakland, CA
(37.798562, -122.215306)"
THEFT/LARCENY,10/26/2017 11:23:00 AM,17-917038,GRAND THEFT,26X,6200 SAN LEANDRO ST,Oakland,CA,"6200 SAN LEANDRO ST
Oakland, CA
(37.759073, -122.203438)"
WEAPONS,10/18/2017 06:47:00 PM,17-054781,CARRY CONCEALED WEAPON IN VEHICLE,19X,1400 21ST AV,Oakland,CA,"1400 21ST AV
Oakland, CA
(37.785531, -122.238615)"
VANDALISM,11/18/2017 02:00:00 AM,17-918305,VANDALISM,21Y,3200 LAUREL AVE,Oakland,CA,"3200 LAUREL AVE
Oakland, CA
(37.792674, -122.207822)"
ASSAULT,10/30/2017 12:00:00 AM,17-057110,MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761683, -122.196239)"
THEFT/LARCENY,12/27/2017 12:00:00 AM,17-067496,THEFT,22Y,4200 MAPLE AV,Oakland,CA,"4200 MAPLE AV
Oakland, CA
(37.80329, -122.198729)"
ASSAULT,01/06/2018 09:00:00 PM,18-001077,BATTERY,08X,300 34TH ST,Oakland,CA,"300 34TH ST
Oakland, CA
(37.82174, -122.260379)"
VANDALISM,11/17/2017 06:00:00 PM,17-918336,VANDALISM,14X,200 GRAND AVE,Oakland,CA,"200 GRAND AVE
Oakland, CA
(37.810775, -122.26147)"
MOTOR VEHICLE THEFT,12/22/2017 07:19:00 AM,17-066515,VEHICLE THEFT - AUTO,26Y,1000 72ND AV,Oakland,CA,"1000 72ND AV
Oakland, CA
(37.756401, -122.192936)"
MOTOR VEHICLE THEFT,12/11/2017 08:43:00 AM,17-064346,VEHICLE THEFT - AUTO,23X,3900 SAN LEANDRO ST,Oakland,CA,"3900 SAN LEANDRO ST
Oakland, CA
(37.772266, -122.220601)"
MOTOR VEHICLE THEFT,01/05/2018 10:00:00 AM,18-000941,VEHICLE THEFT - AUTO,15X,500 MONTCLAIR AVE,Oakland,CA,"500 MONTCLAIR AVE
Oakland, CA
(37.802902, -122.243579)"
MOTOR VEHICLE THEFT,10/14/2017 05:00:00 PM,17-054500,VEHICLE THEFT - AUTO,01X,300 FALLON ST,Oakland,CA,"300 FALLON ST
Oakland, CA
(37.793049, -122.266446)"
ROBBERY,11/24/2017 06:55:00 AM,17-061311,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,1200 96TH AV,Oakland,CA,"1200 96TH AV
Oakland, CA
(37.744204, -122.174938)"
MOTOR VEHICLE THEFT,11/25/2017 09:00:00 PM,17-061726,VEHICLE THEFT - AUTO,01X,400 BLOCK OF 3RD ST,Oakland,CA,"400 BLOCK OF 3RD ST
Oakland, CA
(37.796218, -122.274569)"
THEFT/LARCENY,11/17/2017 11:05:00 PM,17-918330,BURGLARY-AUTO,,FRANKLIN ST,Oakland,CA,"FRANKLIN ST
Oakland, CA
"
ASSAULT,01/06/2018 12:11:00 PM,18-001013,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,1100 54TH ST,Oakland,CA,"1100 54TH ST
Oakland, CA
(37.837842, -122.282125)"
THEFT/LARCENY,11/17/2017 09:49:00 PM,17-918323,BURGLARY-AUTO,03X,300 10TH ST,Oakland,CA,"300 10TH ST
Oakland, CA
(37.800161, -122.269343)"
FRAUD,10/27/2017 12:35:00 PM,17-917017,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,10Y,700 40TH ST,Oakland,CA,"700 40TH ST
Oakland, CA
(37.829995, -122.269439)"
ASSAULT,12/23/2017 08:00:00 PM,17-066727,BATTERY,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
MOTOR VEHICLE THEFT,01/03/2018 03:30:00 PM,18-000573,VEHICLE THEFT - AUTO,19X,1700 EMBARCADERO COVE,Oakland,CA,"1700 EMBARCADERO COVE
Oakland, CA
"
SEX CRIMES,01/05/2018 12:57:00 AM,18-000760,LOITER:INTENT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA,"1400 20TH AV
Oakland, CA
(37.785811, -122.23999)"
THEFT/LARCENY,12/23/2017 07:30:00 PM,17-067488,GRAND THEFT,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
ROBBERY,10/31/2017 04:37:00 PM,17-057203,ROBBERY-FIREARM,02Y,1500 5TH ST,Oakland,CA,"1500 5TH ST
Oakland, CA
(37.80436, -122.296485)"
ASSAULT,11/06/2017 07:20:00 PM,17-058362,BATTERY,30Y,2700 74TH AV,Oakland,CA,"2700 74TH AV
Oakland, CA
(37.767814, -122.172607)"
THEFT/LARCENY,11/17/2017 07:30:00 PM,17-918293,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
ASSAULT,10/19/2017 08:40:00 AM,17-055021,BATTERY,07X,3500 SAN PABLO AV,Oakland,CA,"3500 SAN PABLO AV
Oakland, CA
(37.82608, -122.278193)"
MOTOR VEHICLE THEFT,11/23/2017 08:45:00 AM,17-061181,VEHICLE THEFT - AUTO,17Y,1300 E 32ND ST,Oakland,CA,"1300 E 32ND ST
Oakland, CA
(37.800528, -122.233776)"
ASSAULT,12/24/2017 02:35:00 PM,17-066831,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,11X,600 59TH ST,Oakland,CA,"600 59TH ST
Oakland, CA
(37.844531, -122.265073)"
VANDALISM,11/17/2017 05:30:00 PM,17-918316,VANDALISM,12Y,6200 COLBY ST,Oakland,CA,"6200 COLBY ST
Oakland, CA
(37.84869, -122.256713)"
MOTOR VEHICLE THEFT,11/21/2017 02:12:00 PM,17-060868,VEHICLE THEFT - AUTO,30X,1700 CHURCH ST,Oakland,CA,"1700 CHURCH ST
Oakland, CA
(37.763019, -122.187541)"
THEFT/LARCENY,11/06/2017 05:30:00 PM,17-917659,BURGLARY-AUTO,08X,3900 OPAL ST,Oakland,CA,"3900 OPAL ST
Oakland, CA
(37.82732, -122.259034)"
ASSAULT,11/13/2017 05:50:00 PM,17-059499,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,17X,700 E 18TH ST,Oakland,CA,"700 E 18TH ST
Oakland, CA
(37.796764, -122.248318)"
THEFT/LARCENY,11/18/2017 01:10:00 AM,17-919029,GRAND THEFT,,00 WEBSTER ST,Oakland,CA,"00 WEBSTER ST
Oakland, CA
"
MOTOR VEHICLE THEFT,10/31/2017 08:00:00 AM,17-059666,VEHICLE THEFT - AUTO,14X,200 MACARTHUR BLVD,Oakland,CA,"200 MACARTHUR BLVD
Oakland, CA
(37.817623, -122.253038)"
THEFT/LARCENY,11/26/2017 01:00:00 AM,17-061836,THEFT,26X,4400 E 12TH ST,Oakland,CA,"4400 E 12TH ST
Oakland, CA
(37.771149, -122.214841)"
THEFT/LARCENY,12/02/2017 11:00:00 PM,17-918940,BURGLARY-AUTO,13Y,6900 BUCKINGHAM BOULEVARD,Oakland,CA,"6900 BUCKINGHAM BOULEVARD
Oakland, CA
"
THEFT/LARCENY,12/01/2017 12:00:00 AM,17-918938,BURGLARY-AUTO,,300 22ND ST. ST,Oakland,CA,"300 22ND ST. ST
Oakland, CA
(37.810614, -122.26523)"
ASSAULT,12/24/2017 11:53:00 PM,17-066889,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,1300 95TH AVE,Oakland,CA,"1300 95TH AVE
Oakland, CA
(37.745665, -122.17379)"
VANDALISM,12/22/2017 12:00:00 AM,17-066505,VANDALISM,08X,2300 NORTHGATE AV,Oakland,CA,"2300 NORTHGATE AV
Oakland, CA
(37.812987, -122.270985)"
ROBBERY,12/24/2017 08:41:00 PM,17-066860,ROBBERY-FIREARM,22X,3300 FRUITVALE AV,Oakland,CA,"3300 FRUITVALE AV
Oakland, CA
(37.798748, -122.216742)"
VANDALISM,11/06/2017 08:00:00 PM,17-058392,VANDALISM,22Y,2900 CARMEL ST,Oakland,CA,"2900 CARMEL ST
Oakland, CA
(37.801281, -122.203115)"
VANDALISM,11/28/2017 04:00:00 PM,17-062066,VANDALISM,04X,200 17TH ST,Oakland,CA,"200 17TH ST
Oakland, CA
(37.804776, -122.263844)"
THEFT/LARCENY,10/26/2017 12:00:00 PM,17-916969,BURGLARY-AUTO,,2600 BLK CAMBELL ST,Oakland,CA,"2600 BLK CAMBELL ST
Oakland, CA
"
THEFT/LARCENY,11/22/2017 10:00:00 PM,17-061166,BURGLARY-AUTO,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755448, -122.198431)"
ROBBERY,10/19/2017 07:30:00 AM,17-054880,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,400 24TH ST,Oakland,CA,"400 24TH ST
Oakland, CA
(37.813443, -122.265801)"
VANDALISM,10/19/2017 11:46:00 AM,17-054963,VANDALISM,30X,6600 INTERNATIONAL BLVD,Oakland,CA,"6600 INTERNATIONAL BLVD
Oakland, CA
(37.76209, -122.193157)"
ASSAULT,01/05/2018 11:00:00 PM,18-000999,BATTERY,27Y,5800 INTERNATIONAL BLVD,Oakland,CA,"5800 INTERNATIONAL BLVD
Oakland, CA
(37.765381, -122.200094)"
ROBBERY,11/06/2017 10:30:00 PM,17-058380,ATTEMPTED ROBBERY-STRONG-ARM,15X,200 FOOTHILL BLVD,Oakland,CA,"200 FOOTHILL BLVD
Oakland, CA
(37.799324, -122.25439)"
MOTOR VEHICLE THEFT,10/31/2017 08:00:00 AM,17-057289,VEHICLE THEFT - AUTO,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785457, -122.222072)"
VANDALISM,11/22/2017 10:00:00 PM,17-061163,VANDALISM,27Y,5400 BANCROFT AV,Oakland,CA,"5400 BANCROFT AV
Oakland, CA
(37.771761, -122.200788)"
VANDALISM,11/26/2017 09:00:00 PM,17-061958,"VANDALISM [$400 TO $5,000]",16Y,1300 CHATHAM RD,Oakland,CA,"1300 CHATHAM RD
Oakland, CA
(37.80463, -122.233267)"
THEFT/LARCENY,11/13/2017 01:26:00 PM,17-059489,THEFT,23X,1000 40TH AV,Oakland,CA,"1000 40TH AV
Oakland, CA
(37.772113, -122.219465)"
ASSAULT,11/27/2017 07:22:00 PM,17-061920,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,3000 PLEITNER AV,Oakland,CA,"3000 PLEITNER AV
Oakland, CA
(37.791922, -122.21289)"
THEFT/LARCENY,11/28/2017 06:00:00 PM,17-062105,THEFT,30X,1500 78TH AV,Oakland,CA,"1500 78TH AV
Oakland, CA
(37.758823, -122.181428)"
ROBBERY,11/24/2017 11:45:00 PM,17-061272,ROBBERY-FIREARM,21Y,2100 34TH AV,Oakland,CA,"2100 34TH AV
Oakland, CA
(37.784055, -122.21942)"
ASSAULT,11/27/2017 12:00:00 PM,17-061910,BATTERY,03X,600 OAK ST,Oakland,CA,"600 OAK ST
Oakland, CA
(37.795564, -122.266309)"
VANDALISM,11/17/2017 11:09:00 PM,17-918328,VANDALISM,03X,700 FRANKLIN ST,Oakland,CA,"700 FRANKLIN ST
Oakland, CA
(37.799263, -122.272826)"
VANDALISM,11/23/2017 04:39:00 PM,17-061226,VANDALISM-$400,04X,1800 HARRISON ST,Oakland,CA,"1800 HARRISON ST
Oakland, CA
(37.806045, -122.26565)"
THEFT/LARCENY,10/25/2017 10:00:00 PM,17-917002,BURGLARY-AUTO,26Y,7100BLK SNELL ST,Oakland,CA,"7100BLK SNELL ST
Oakland, CA
"
MOTOR VEHICLE THEFT,11/23/2017 10:56:00 AM,17-061212,VEHICLE THEFT - AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758163, -122.207188)"
THEFT/LARCENY,11/07/2017 12:46:00 PM,17-058468,THEFT,28X,5900 MACARTHUR BLVD,Oakland,CA,"5900 MACARTHUR BLVD
Oakland, CA
(37.776491, -122.183947)"
